nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000678	Kathleen Turner	1954	\N	actress,producer,soundtrack	tt0111127,tt0082089,tt0091738,tt0088011
nm0000679	Deborah Kara Unger	1966	\N	actress,producer,miscellaneous	tt0328538,tt0119174,tt0317042,tt1441912
nm0000680	Casper Van Dien	1968	\N	actor,producer,director	tt0120856,tt0120201,tt0437086,tt0162661
nm0000681	Vince Vaughn	1970	\N	producer,actor,writer	tt0396269,tt5657856,tt0452594,tt1078940
nm0000682	Paul Verhoeven	1938	\N	director,producer,writer	tt0389557,tt0164052,tt3716530,tt0093870
nm0000683	Gore Vidal	1925	2012	writer,actor	tt0119177,tt0041061,tt0080491,tt0111732
nm0000684	Nana Visitor	1957	\N	actress,soundtrack	tt2637276,tt1334102,tt0758746,tt0106145
nm0000685	Jon Voight	1938	\N	actor,producer,writer	tt0064665,tt0068473,tt0118615,tt0089941
nm0000686	Christopher Walken	1943	\N	actor,soundtrack,producer	tt0427327,tt0114194,tt0264464,tt0077416
nm0000687	J.T. Walsh	1943	1998	actor	tt0104257,tt0118771,tt0117666,tt0093105
nm0000688	Sela Ward	1956	\N	actress,producer	tt0106977,tt0814335,tt1628841,tt2267998
nm0000689	Julie Warner	1965	\N	actress,director,producer	tt0101745,tt0430634,tt0114694,tt0099582
nm0000690	Lesley Ann Warren	1946	\N	actress,soundtrack,producer	tt0088930,tt0057950,tt3322312,tt0084865
nm0000691	John Waters	1946	\N	actor,writer,director	tt0111127,tt0387575,tt0126604,tt0095270
nm0000692	Teri Weigel	1962	\N	actress	tt0096889,tt0098257,tt0100114,tt0100403
nm0000693	Peter Weller	1947	\N	actor,director,soundtrack	tt0086856,tt0093870,tt0100502,tt0102511
nm0000694	Wim Wenders	1945	\N	director,producer,writer	tt0093191,tt0107209,tt0087884,tt0101458
nm0000695	Joanne Whalley	1961	\N	actress	tt0090424,tt0096446,tt0120483,tt1582457
nm0000696	Wil Wheaton	1972	\N	actor,writer,producer	tt0092005,tt0084649,tt0103112,tt0092455
nm0000697	Billy Wilder	1906	2002	writer,director,producer	tt0047437,tt0053604,tt0043014,tt0053291
nm0000698	Gene Wilder	1933	2016	actor,soundtrack,writer	tt0098282,tt0072431,tt0063462,tt0067992
nm0000699	Michael Wincott	1958	\N	actor	tt0486674,tt0115632,tt0096219,tt0112817
nm0000700	Debra Winger	1955	\N	actress,producer,soundtrack	tt0084434,tt0081696,tt1084950,tt0086425
nm0000701	Kate Winslet	1975	\N	actress,soundtrack	tt0959337,tt0338013,tt0114388,tt0120338
nm0000702	Reese Witherspoon	1976	\N	actress,producer,soundtrack	tt0358273,tt2305051,tt0250494,tt0126886
nm0000703	BD Wong	1960	\N	actor,soundtrack	tt0107290,tt4158110,tt0369610,tt0120762
nm0000704	Elijah Wood	1981	\N	actor,producer,soundtrack	tt0167260,tt0120737,tt0338013,tt0167261
nm0000705	Robin Wright	1966	\N	actress,producer,director	tt0217869,tt0442933,tt0093779,tt0109830
nm0000706	Michelle Yeoh	1962	\N	actress,producer,writer	tt0190332,tt1302011,tt0120347,tt3104988
nm0000707	Sean Young	1959	\N	actress,miscellaneous,director	tt0093640,tt0109040,tt0083658,tt0087182
nm0000708	Billy Zane	1966	\N	actor,producer,soundtrack	tt0117331,tt0097162,tt0120338,tt0096874
nm0000709	Robert Zemeckis	1951	\N	producer,writer,director	tt0088763,tt1907668,tt0118884,tt0109830
nm0000710	David Raksin	1912	2004	music_department,composer,soundtrack	tt0458339,tt0037008,tt0027977,tt0119668
nm0000711	Rick Baker	1950	\N	make_up_department,actor,special_effects	tt0133152,tt0780653,tt0170016,tt0119654
nm0000712	Steve Cohen	\N	\N	assistant_director,director,miscellaneous	tt0089218,tt0143213,tt0363685,tt0098844
nm0000713	Joel Oliansky	1935	2002	writer,director,actor	tt0065278,tt0205655,tt0081900,tt0069599
nm0000714	Willie Aames	1960	\N	actor,writer,director	tt0075500,tt0084945,tt0086681
nm0000715	Caroline Aaron	1952	\N	actress,producer	tt0108160,tt0099487,tt0118954,tt1232829
nm0000716	Paula Abdul	1962	\N	soundtrack,actress,miscellaneous	tt0094898,tt0358082,tt0093894
nm0000717	Kareem Abdul-Jabbar	1947	\N	actor,producer,writer	tt0113097,tt0080339,tt0089155,tt0131857
nm0000718	Ian Abercrombie	1934	2012	actor,miscellaneous	tt1185834,tt0106220,tt0106308,tt0312098
nm0000719	F. Murray Abraham	1939	\N	actor,soundtrack	tt2278388,tt0120844,tt0086879,tt0113819
nm0000720	Jim Abrahams	1944	\N	writer,producer,director	tt0102059,tt0083466,tt0080339,tt0088286
nm0000721	Victoria Abril	1959	\N	actress,soundtrack	tt0284491,tt0101026,tt0103030,tt0094822
nm0000722	Joss Ackland	1928	\N	actor,soundtrack	tt0101452,tt0078480,tt0099810,tt0097733
nm0000723	Deborah Adair	1952	\N	actress	tt0058796,tt0099701,tt0081856,tt0069658
nm0000724	Brooke Adams	1949	\N	actress,producer,writer	tt0103157,tt0077745,tt0077405,tt0085407
nm0000725	Joey Lauren Adams	1968	\N	actress,soundtrack,director	tt2996684,tt0106677,tt0118842,tt0142342
nm0000726	Maud Adams	1945	\N	actress,director	tt0086034,tt0071807,tt0083178,tt0073631
nm0000727	Percy Adlon	1935	\N	director,writer,producer	tt0095801,tt0090377,tt0082225,tt0108636
nm0000728	Mario Adorf	1930	\N	actor,soundtrack,writer	tt0050746,tt0112154,tt0103432,tt0078875
nm0000729	Casey Affleck	1975	\N	actor,producer,writer	tt0452623,tt0240772,tt4034228,tt0443680
nm0000730	John Agar	1921	2002	actor,music_department	tt0049516,tt0041841,tt0040369,tt0066831
nm0000731	Brian Aherne	1902	1986	actor,soundtrack	tt0030442,tt0057547,tt0036203,tt0031516
nm0000732	Danny Aiello	1933	2019	actor,producer,soundtrack	tt0093565,tt0110413,tt0102070,tt0097216
nm0000733	Anouk Aimée	1932	\N	actress	tt0053779,tt0055093,tt0056801,tt0061138
nm0000734	Eddie Albert	1906	2005	actor,soundtrack,producer	tt0058808,tt0046250,tt0071771,tt0068687
nm0000735	Brian Aldiss	1925	2017	writer,actor	tt0099612,tt1590816,tt0432260,tt0212720
nm0000736	Robert Aldrich	1918	1983	director,assistant_director,producer	tt0056687,tt0061578,tt0048966,tt0048261
nm0000737	Jane Alexander	1939	\N	actress,producer,soundtrack	tt0079417,tt0298130,tt0086429,tt0124315
nm0000738	Muhammad Ali	1942	2016	actor,soundtrack,writer	tt0118147,tt0056406,tt0076111,tt0077003
nm0000739	Debbie Allen	1950	\N	actress,producer,director	tt0083412,tt0413573,tt0080716,tt0118607
nm0000740	Irwin Allen	1916	1991	writer,producer,director	tt0057798,tt0044009,tt0060036,tt0072308
nm0000741	Tim Allen	1953	\N	actor,producer,miscellaneous	tt0111070,tt0101120,tt0177789,tt0114709
nm0000742	June Allyson	1917	2006	actress,soundtrack	tt0046963,tt0040876,tt0049578,tt0041928
nm0000743	Néstor Almendros	1930	1992	cinematographer,director,actor	tt0084707,tt0079417,tt0080453,tt0077405
nm0000744	Maria Conchita Alonso	1957	\N	actress,soundtrack,producer	tt1186370,tt0100403,tt0092997,tt0093894
nm0000745	Carol Alt	1960	\N	actress,producer,executive	tt0112829,tt0119951,tt1859650,tt0484207
nm0000746	Trini Alvarado	1967	\N	actress,soundtrack	tt0125454,tt0116365,tt0110367,tt0081635
nm0000747	Don Ameche	1908	1993	actor,soundtrack,director	tt0035979,tt0107131,tt0088933,tt0086465
nm0000748	Leon Ames	1902	1993	actor,soundtrack	tt0091738,tt0043880,tt0037059,tt0066473
nm0000749	Mädchen Amick	1970	\N	actress,director,producer	tt0105665,tt0109665,tt5420376,tt0098936
nm0000750	Jon Amiel	1948	\N	director,producer,script_department	tt0100822,tt0112722,tt0137494,tt0298814
nm0000751	Suzy Amis	1962	\N	actress,producer,soundtrack	tt0106350,tt0120338,tt0114814,tt0109303
nm0000752	Judith Anderson	1897	1992	actress,soundtrack	tt0088170,tt0037008,tt0051459,tt0032976
nm0000753	Juliet Anderson	1938	2010	actress,director,producer	tt0265023,tt0183031,tt0080677,tt0082707
nm0000754	Kevin Anderson	1960	\N	actor,soundtrack,stunts	tt0102945,tt0093683,tt0413895,tt0118411
nm0000755	Lindsay Anderson	1923	1994	director,actor,writer	tt0057578,tt0070464,tt0083694,tt0063850
nm0000756	Loni Anderson	1945	\N	actress,soundtrack	tt0120770,tt0118539,tt0077097,tt0086379
nm0000757	Melissa Sue Anderson	1962	\N	actress,producer,soundtrack	tt0088513,tt0463850,tt0071007,tt0082498
nm0000758	Melody Anderson	1955	\N	actress	tt0082242,tt0098369,tt0091055,tt0080745
nm0000759	Paul Thomas Anderson	1970	\N	director,writer,producer	tt0118749,tt1791528,tt0272338,tt0469494
nm0000760	Richard Dean Anderson	1950	\N	actor,producer,soundtrack	tt0118480,tt0929629,tt0374455,tt0088559
nm0000761	Bibi Andersson	1935	2019	actress,soundtrack	tt0050976,tt0060827,tt0050986,tt0837106
nm0000762	Anthony Andrews	1948	\N	actor,producer,soundtrack	tt1504320,tt0088322,tt0084637,tt0083390
nm0000763	Dana Andrews	1909	1992	actor,soundtrack	tt0036868,tt0037008,tt0037691,tt0051221
nm0000764	André the Giant	1946	1993	actor	tt0093779,tt0261495,tt0250824,tt0071054
nm0000765	Pier Angeli	1932	1971	actress,soundtrack	tt0056504,tt0058947,tt0049778,tt0044112
nm0000766	Theodoros Angelopoulos	1935	2012	director,writer,producer	tt0096288,tt0081148,tt0156794,tt0114863
nm0000767	Jean-Hugues Anglade	1955	\N	actor,director,writer	tt0100263,tt0364045,tt0090563,tt0110963
nm0000768	Francesca Annis	1945	\N	actress	tt0077042,tt0085811,tt0087182,tt0375920
nm0000769	Susan Anspach	1942	2018	actress,soundtrack	tt0069808,tt0065724,tt0079832,tt0069097
nm0000770	David Anspaugh	1946	\N	producer,director	tt0081873,tt4196848,tt0108002,tt0091217
nm0000771	Lysette Anthony	1963	\N	actress,producer	tt0112896,tt0104466,tt0099363,tt0085811
nm0000772	Susan Anton	1950	\N	actress,soundtrack,producer	tt0079225,tt0087032,tt0078694,tt0096542
nm0000773	Laura Antonelli	1941	2015	actress	tt0071844,tt0082883,tt0074686,tt0070358
nm0000774	Michelangelo Antonioni	1912	2007	writer,director,editor	tt0073580,tt0053619,tt0060176,tt0047821
nm0000775	Christina Applegate	1971	\N	actress,producer,soundtrack	tt0092400,tt0101757,tt4651520,tt0253867
nm0000776	Michael Apted	1941	2021	director,producer,miscellaneous	tt0384766,tt1734493,tt0143145,tt0157583
nm0000777	Gregg Araki	1959	\N	writer,director,producer	tt0094134,tt0370986,tt1523483,tt2238050
nm0000778	Alfonso Arau	1932	\N	actor,director,writer	tt0103994,tt2380307,tt0092086,tt0114887
nm0000779	Roscoe 'Fatty' Arbuckle	1887	1933	actor,director,writer	tt0009123,tt0007761,tt0012382,tt0007819
nm0000780	Denys Arcand	1941	\N	writer,director,actor	tt0090985,tt0097635,tt0338135,tt7231342
nm0000781	Eve Arden	1908	1990	actress,soundtrack	tt0044287,tt0052561,tt0037913,tt0077631
nm0000782	Asia Argento	1975	\N	actress,director,writer	tt0295701,tt0218581,tt0418819,tt0368774
nm0000783	Dario Argento	1940	\N	writer,director,producer	tt0065143,tt0093677,tt0073582,tt0087909
nm0000784	Pedro Armendáriz	1912	1963	actor,producer	tt0037981,tt0040369,tt0057076,tt0040064
nm0000785	Alison Armitage	1965	\N	actress	tt0180339,tt0105930,tt0116695,tt0115237
nm0000786	George Armitage	1942	\N	producer,writer,director	tt0075393,tt0065760,tt0119229,tt0100143
nm0000787	Bess Armstrong	1953	\N	actress	tt0108872,tt0085678,tt0085750,tt0082405
nm0000788	Gillian Armstrong	1950	\N	director,producer,writer	tt0245046,tt0079596,tt0110367,tt0117206
nm0000789	Desi Arnaz	1917	1986	producer,actor,production_manager	tt0043208,tt1243974,tt0047191,tt0041475
nm0000790	James Arness	1923	2011	actor,producer,miscellaneous	tt0092527,tt0044121,tt0047573,tt0047736
nm0000791	Jack Arnold	1912	1992	director,producer,writer	tt0050539,tt2402723,tt0046876,tt0043138
nm0000792	Tom Arnold	1959	\N	actor,producer,writer	tt0119640,tt0242445,tt0117768,tt0111503
nm0000793	Alexis Arquette	1969	2016	actress,art_department,producer	tt0144120,tt0160862,tt0283003,tt0110912
nm0000794	Lewis Arquette	1935	2001	actor,writer,producer	tt0098439,tt0185431,tt0118111,tt0078966
nm0000795	Jean Arthur	1900	1991	actress,soundtrack	tt0030993,tt0031679,tt0036172,tt0046303
nm0000796	Dana Ashbrook	1967	\N	actor,writer	tt0095990,tt5334704,tt0098936,tt0105665
nm0000797	Hal Ashby	1929	1988	director,editorial_department,actor	tt0078841,tt0077362,tt0061811,tt0067185
nm0000798	Linden Ashby	1960	\N	actor,director	tt0432021,tt0111756,tt0113855,tt1567432
nm0000799	Ed Asner	1929	2021	actor,producer,soundtrack	tt0061619,tt0319343,tt1049413,tt0065314
nm0000800	Armand Assante	1949	\N	actor,soundtrack,producer	tt0116441,tt0104802,tt0113492,tt0765429
nm0000801	Olivier Assayas	1955	\N	writer,director,assistant_director	tt0401711,tt2452254,tt4714782,tt0216689
nm0000802	Mary Astor	1906	1987	actress,soundtrack	tt0033677,tt0037059,tt0033870,tt0034428
nm0000803	Christopher Atkins	1961	\N	actor,writer,producer	tt0086011,tt0080453,tt4893122,tt0084504
nm0000804	Stéphane Audran	1932	2018	actress,soundtrack	tt0062728,tt0068361,tt0064106,tt0092603
nm0000805	Claudine Auger	1941	2019	actress	tt0080718,tt0059800,tt1369743,tt0067656
nm0000806	Bille August	1948	\N	director,writer,cinematographer	tt0107151,tt0119683,tt0093713,tt0257215
nm0000807	Jane Austen	1775	1817	writer	tt0114388,tt1374989,tt0116191,tt0414387
nm0000808	Paul Auster	1947	\N	writer,director,producer	tt0114478,tt0479074,tt0125879,tt0112541
nm0000809	Daniel Auteuil	1950	\N	actor,director,writer	tt0243493,tt0091288,tt0387898,tt1473063
nm0000810	Gene Autry	1907	1998	soundtrack,actor,producer	tt0026867,tt0034106,tt0042110,tt0027361
nm0000811	Frankie Avalon	1940	\N	soundtrack,actor,producer	tt0059726,tt0058953,tt0077631,tt0112641
nm0000812	Roger Avary	1965	\N	writer,producer,director	tt0292644,tt0110912,tt7248248,tt0110265
nm0000813	Tex Avery	1908	1980	director,animation_department,actor	tt0033260,tt0038702,tt0038595,tt0032243
nm0000814	John G. Avildsen	1935	2017	director,editor,cinematographer	tt0087538,tt0100507,tt0075148,tt0097647
nm0000815	Mili Avital	1972	\N	actress,director,editor	tt0111282,tt0120723,tt0112817,tt0181199
nm0000816	Jon Avnet	1949	\N	producer,director,writer	tt0101921,tt0086200,tt0118055,tt0947798
nm0000817	Lew Ayres	1908	1996	actor,soundtrack,director	tt0030241,tt0020629,tt0069768,tt0040495
nm0000818	Shabana Azmi	1950	\N	actress,music_department	tt0116308,tt5286444,tt0083578,tt2792284
nm0000819	Barbara Bach	1946	\N	actress	tt0080058,tt0076752,tt0064750,tt0077572
nm0000820	Burt Bacharach	1928	\N	soundtrack,music_department,composer	tt0145660,tt0119738,tt0064115,tt0082031
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0213890,tt5571734,tt0375611,tt0337578
nm0000822	Jim Backus	1913	1989	actor,writer,soundtrack	tt0057751,tt0048545,tt0057681,tt0057193
nm0000823	Angelo Badalamenti	1937	\N	music_department,composer,soundtrack	tt0116922,tt0105665,tt0166924,tt0344510
nm0000824	John Badham	1939	\N	director,producer,actor	tt0091949,tt0086567,tt0076666,tt0113972
nm0000825	Mary Badham	1952	\N	actress	tt0060626,tt0061089,tt0052520,tt0056592
nm0000826	Jane Badler	1953	\N	actress,producer,soundtrack	tt0085106,tt4244730,tt4054004,tt0086822
nm0000827	Maxine Bahns	1971	\N	actress	tt0112585,tt6517320,tt0117628,tt8558774
nm0000828	Barbara Bain	1931	\N	actress,soundtrack	tt0270197,tt0072564,tt0060009,tt8717656
nm0000829	Stuart Baird	1947	\N	editor,editorial_department,director	tt0078346,tt0253754,tt0381061,tt1074638
nm0000830	Oksana Baiul	1977	\N	actress	tt7462076,tt0244110,tt0118186,tt0115101
nm0000832	Diane Baker	1938	\N	actress,producer,production_manager	tt0115798,tt0058329,tt0057426,tt0102926
nm0000833	Joe Don Baker	1936	\N	actor,production_manager,miscellaneous	tt0116996,tt0112715,tt0113189,tt0093428
nm0000834	Kathy Baker	1950	\N	actress,producer	tt1315216,tt0103512,tt0159365,tt0099487
nm0000835	Ralph Bakshi	1938	\N	animation_department,director,producer	tt0085542,tt0077869,tt0068612,tt0076929
nm0000836	Scott Bakula	1954	\N	actor,producer,soundtrack	tt0096684,tt1291580,tt0244365,tt0169547
nm0000837	Bob Balaban	1945	\N	actor,director,producer	tt0310281,tt0280707,tt0075860,tt0086837
nm0000838	Daniel Baldwin	1960	\N	actor,producer,director	tt0758751,tt1600194,tt0368479,tt1830617
nm0000839	Ina Balin	1937	1990	actress,writer,producer	tt0053841,tt0054757,tt0058456,tt0076984
nm0000840	Lucille Ball	1911	1989	actress,production_manager,soundtrack	tt0047191,tt0055686,tt0043208,tt0062570
nm0000841	Michael Ballhaus	1935	2017	cinematographer,director,actor	tt0103874,tt0106226,tt0407887,tt0099685
nm0000842	Martin Balsam	1919	1996	actor	tt0059798,tt0054215,tt0074119,tt0050083
nm0000843	Anne Bancroft	1931	2005	actress,soundtrack,director	tt0076843,tt0119223,tt0061722,tt0056241
nm0000844	Tamasaburô Bandô	1950	\N	actor,director,writer	tt0184507,tt0230866,tt0108639,tt0079041
nm0000845	Tallulah Bankhead	1902	1968	actress	tt0059106,tt0038040,tt0037017,tt0010798
nm0000846	Ian Bannen	1928	1999	actor	tt0166396,tt0059183,tt0112573,tt0093209
nm0000847	Theda Bara	1885	1955	actress,writer	tt0007769,tt0009792,tt0005100,tt0005339
nm0000848	Olivia Barash	1965	\N	actress,soundtrack,producer	tt0083412,tt0090213,tt0101761,tt0087995
nm0000849	Javier Bardem	1969	\N	actor,producer,soundtrack	tt0369702,tt0477348,tt1074638,tt1164999
nm0000850	Clive Barker	1952	\N	writer,producer,actor	tt0103919,tt0805570,tt0093177,tt0100260
nm0000851	Lex Barker	1919	1973	actor	tt0059915,tt0043025,tt0058751,tt0045220
nm0000852	Jean-Marc Barr	1960	\N	actor,producer,director	tt1462411,tt0095250,tt0178721,tt1692227
nm0000853	Bruno Barreto	1955	\N	director,producer,writer	tt2217458,tt0119815,tt0077452,tt0179170
nm0000854	Majel Barrett	1932	2008	actress,producer,writer	tt0070909,tt0111280,tt0117731,tt0253754
nm0000855	Raymond J. Barry	1939	\N	actor	tt0106856,tt0305711,tt0841046,tt0139654
nm0000856	Ethel Barrymore	1879	1959	actress	tt0039694,tt0038975,tt0037135,tt0041746
nm0000857	John Drew Barrymore	1932	2004	actor,director	tt0059069,tt0055855,tt0134061,tt0055866
nm0000858	John Barrymore	1882	1942	actor,soundtrack,writer	tt0023948,tt0022958,tt0025919,tt0022454
nm0000859	Lionel Barrymore	1878	1954	actor,director,soundtrack	tt0021885,tt0040506,tt0030993,tt0038650
nm0000860	Paul Bartel	1938	2000	actor,director,writer	tt0072856,tt0083869,tt0098261,tt0116225
nm0000861	Freddie Bartholomew	1924	1992	producer,actor,soundtrack	tt0026266,tt0028691,tt0027893,tt0030368
nm0000862	Robin Bartlett	1951	\N	actress,miscellaneous	tt2042568,tt0084707,tt1130884,tt0120632
nm0000863	Billy Barty	1924	2000	actor,soundtrack,director	tt0093507,tt0093891,tt0096446,tt0089469
nm0000864	Mikhail Baryshnikov	1948	\N	actor,producer,miscellaneous	tt0136439,tt0076843,tt0090319,tt0101606
nm0000865	Richard Basehart	1914	1984	actor,director	tt0047528,tt0057798,tt0049513,tt0043560
nm0000866	Saul Bass	1920	1996	miscellaneous,art_department,director	tt0070531,tt0086162,tt0053125,tt0063804
nm0000867	Jason Bateman	1969	\N	actor,producer,director	tt0467406,tt2948356,tt2170299,tt0367279
nm0000868	Justine Bateman	1966	\N	actress,producer,soundtrack	tt6852672,tt0367279,tt0083413,tt6662050
nm0000869	Alan Bates	1934	2003	actor,soundtrack,producer	tt0280707,tt0265349,tt0164184,tt0066579
nm0000870	Kathy Bates	1948	\N	actress,director,soundtrack	tt0257360,tt0100157,tt0109642,tt0120338
nm0000871	Randall Batinkoff	1968	\N	actor,producer,director	tt2357144,tt0103893,tt0119822,tt0119874
nm0000872	Patrick Bauchau	1938	\N	actor,writer,producer	tt0090264,tt0115320,tt0319969,tt0258000
nm0000873	Belinda Bauer	1950	\N	actress	tt0090066,tt0098546,tt0085549,tt0100502
nm0000874	Steven Bauer	1956	\N	actor,producer,soundtrack	tt2249007,tt0181865,tt0086250,tt0117381
nm0000875	L. Frank Baum	1856	1919	writer,producer,miscellaneous	tt0000679,tt0089908,tt0004207,tt0032138
nm0000876	Noah Baumbach	1969	\N	writer,director,producer	tt2347569,tt2872462,tt0367089,tt7653254
nm0000877	Lamberto Bava	1944	\N	director,assistant_director,producer	tt0088100,tt0089013,tt0091553,tt0101493
nm0000878	Mario Bava	1914	1980	cinematographer,special_effects,director	tt0058567,tt0067656,tt0055022,tt0068863
nm0000879	Anne Baxter	1923	1985	actress,soundtrack,producer	tt0038873,tt0035015,tt0049833,tt0042192
nm0000880	Meredith Baxter	1947	\N	actress,soundtrack,producer	tt0073992,tt0074119,tt0105833,tt0083413
nm0000881	Michael Bay	1965	\N	producer,director,actor	tt1055369,tt0120591,tt2109248,tt0418279
nm0000882	Nathalie Baye	1948	\N	actress,soundtrack	tt1650048,tt0174330,tt0264464,tt0204709
nm0000883	Stephanie Beacham	1947	\N	actress,soundtrack	tt0452643,tt0096698,tt0068505,tt0081856
nm0000884	Jennifer Beals	1963	\N	actress,producer,soundtrack	tt0088851,tt0085549,tt0113101,tt1037705
nm0000885	Ned Beatty	1937	2021	actor,soundtrack	tt0822854,tt0078346,tt0074958,tt0068473
nm0000886	Warren Beatty	1937	\N	actor,soundtrack,producer	tt0082979,tt0061418,tt0077663,tt0118798
nm0000887	Harold Becker	1928	\N	director,producer,cinematographer	tt0249478,tt0107497,tt0120749,tt0098273
nm0000888	Meret Becker	1969	\N	actress,composer,soundtrack	tt0111183,tt0111613,tt0408306,tt0128133
nm0000889	Bonnie Bedelia	1948	\N	actress,soundtrack	tt0085656,tt0099423,tt0100404,tt0095016
nm0000890	Noah Beery Jr.	1913	1994	actor,soundtrack	tt0031762,tt0040724,tt0053946,tt0071042
nm0000891	Wallace Beery	1885	1949	actor,director,soundtrack	tt0023948,tt0022958,tt0040271,tt0025948
nm0000892	Jason Beghe	1960	\N	actor,producer	tt1458175,tt0103074,tt0095652,tt0119173
nm0000893	Ed Begley Jr.	1949	\N	actor,producer,director	tt0310281,tt1289401,tt0910936,tt1178663
nm0000894	Jean-Jacques Beineix	1946	\N	producer,assistant_director,director	tt0098226,tt0090563,tt0082269,tt0104473
nm0000895	Barbara Bel Geddes	1922	2005	actress,soundtrack	tt0052357,tt0042832,tt0077000,tt0040221
nm0000896	Harry Belafonte	1927	\N	soundtrack,actor,producer	tt0053454,tt7349662,tt0308055,tt0116745
nm0000897	Ralph Bellamy	1904	1991	actor,soundtrack	tt0034398,tt0028597,tt0086465,tt0032599
nm0000898	Kathleen Beller	1956	\N	actress	tt0084749,tt0071562,tt0077952,tt0081856
nm0000899	Monica Bellucci	1964	\N	actress,soundtrack	tt0234215,tt0465602,tt0242653,tt0213847
nm0000900	Pamela Bellwood	1944	\N	actress	tt0075648,tt0081485,tt0075359,tt0081856
nm0000901	Jean-Paul Belmondo	1933	2021	actor,producer,stunts	tt0061452,tt0053472,tt0095386,tt0059592
nm0000902	Jim Belushi	1954	\N	actor,music_department,producer	tt0091419,tt0095963,tt0117468,tt0097637
nm0000903	Brian Benben	1956	\N	actor,producer,writer	tt0110939,tt0167547,tt0099817,tt0098780
nm0000904	William Bendix	1906	1964	actor,soundtrack,writer	tt0038369,tt0037017,tt0034798,tt0038453
nm0000905	Roberto Benigni	1952	\N	actor,writer,director	tt0102164,tt0419198,tt0118799,tt0090967
nm0000906	Annette Bening	1958	\N	actress,soundtrack,executive	tt0099703,tt0842926,tt4385888,tt0169547
nm0000907	Richard Benjamin	1938	\N	actor,director,producer	tt0118954,tt0070909,tt0065636,tt0070291
nm0000908	David Bennent	1966	\N	actor	tt0085289,tt0078875,tt0303457,tt0089469
nm0000909	Constance Bennett	1904	1965	actress,soundtrack,producer	tt0024506,tt0029682,tt0030442,tt0023786
nm0000910	Joan Bennett	1910	1990	actress,soundtrack	tt0033873,tt0059978,tt0076786,tt0040000
nm0000911	Nigel Bennett	1949	\N	actor,director,soundtrack	tt0284978,tt5580390,tt0103417,tt0115243
nm0000912	Jack Benny	1894	1974	actor,soundtrack,producer	tt0035446,tt0033457,tt0042116,tt0034780
nm0000913	Robby Benson	1956	\N	actor,director,soundtrack	tt0076500,tt0108778,tt0101414,tt0040053
nm0000914	Robert Benton	1932	\N	writer,director,producer	tt0061418,tt0087921,tt0079417,tt0078346
nm0000915	Bruce Beresford	1940	\N	director,producer,writer	tt0097239,tt4196848,tt0080310,tt6684884
nm0000916	Peter Berg	1964	\N	producer,actor,writer	tt1091191,tt0124198,tt0369339,tt0108724
nm0000917	Polly Bergen	1930	2014	actress,soundtrack,miscellaneous	tt0099329,tt0048893,tt0058266,tt0055824
nm0000918	Helmut Berger	1944	\N	actor,soundtrack	tt0068883,tt0073634,tt0099674,tt0064118
nm0000919	Senta Berger	1941	\N	actress,producer,soundtrack	tt0061568,tt0896680,tt0090465,tt0062657
nm0000920	Patrick Bergin	1951	\N	actor,soundtrack,producer	tt0105112,tt0102340,tt0102797,tt0102945
nm0000921	Andrew Bergman	1945	\N	writer,director,producer	tt0117765,tt0071230,tt0089155,tt0110167
nm0000922	Sandahl Bergman	1951	\N	actress,soundtrack	tt0089893,tt0082198,tt0090009,tt0093171
nm0000923	Busby Berkeley	1895	1976	miscellaneous,director,music_department	tt0027686,tt0025028,tt0026421,tt0029725
nm0000924	Elizabeth Berkley	1972	\N	actress,producer,soundtrack	tt0116313,tt0114436,tt0146838,tt0256524
nm0000925	Steven Berkoff	1937	\N	actor,writer,director	tt0086960,tt1243957,tt0066921,tt0086034
nm0000926	Milton Berle	1908	2002	actor,producer,soundtrack	tt0059410,tt0079588,tt0040041,tt0057193
nm0000927	Irving Berlin	1888	1989	soundtrack,music_department,writer	tt0029852,tt0034862,tt0036430,tt0038370
nm0000928	Sandra Bernhard	1955	\N	actress,soundtrack,writer	tt0102070,tt0138967,tt0085794,tt0081506
nm0000929	Corbin Bernsen	1954	\N	actor,producer,director	tt0491738,tt0097815,tt0110442,tt0373469
nm0000930	Elmer Bernstein	1922	2004	music_department,composer,soundtrack	tt0054047,tt0297884,tt0056592,tt0120891
nm0000931	Elizabeth Berridge	1962	\N	actress	tt0317648,tt0082427,tt0106039,tt0086879
nm0000932	Halle Berry	1966	\N	actress,producer,executive	tt0246460,tt0285742,tt0348836,tt0327554
nm0000933	Valerie Bertinelli	1960	\N	actress,producer,soundtrack	tt0072554,tt0095816,tt0078924,tt0093658
nm0000934	Bernardo Bertolucci	1941	2018	writer,director,producer	tt0065571,tt0070849,tt0117737,tt0093389
nm0000935	Bibi Besch	1942	1996	actress	tt0084726,tt0100814,tt0104118,tt0098384
nm0000936	Martine Beswick	1941	\N	actress,soundtrack	tt0061429,tt0059800,tt0068502,tt0057076
nm0000937	Richard Beymer	1939	\N	actor,cinematographer,editor	tt0226836,tt0098936,tt0056197,tt0055614
nm0000938	Daniela Bianchi	1942	\N	actress	tt0057076,tt0062078,tt0060704,tt0062397
